Lp,Wymaganie w oparciu o specyfikację
1,Wymagane są 4 wersje aplikacji klienckiej
2,Aplikacja posiada część serwerową
3,Aplikacja ma być w języku polskim
4,jakie systemy operacyjne wspiera
5,Nie jest wymagany instalator aplikacji
6,Defekty w aplikacji są oceniane według kryterium
7,dane z części klienckiej maja być dostarczane w postaci pliku tekstowego
8,wszystkie zadania mają zostać zaimplementowane w aplikacji
9,w każdym zadaniu ma być dokładnie jeden defekt
10,wersja końcowa nie może zawierać zadań z wersji demonstracyjnej
11,wersje powinny różnić się tylko ilością zadań
12,część serwerowa powinna wspierać windows 7
13,język programowania oraz baza danych użyte do tworzenia nie powinny być zdefiniowane
14,aplikacja ma umożliwić użytkownikom poszukiwanie jednego defektu w każdym ze stworzonych zadań oraz ich raportowanie
15,aplikacja ma generować dziennik zdarzeń części klienckiej
16,w aplikacji końcowej i publicznej ma być nie mniej niż 15 zadań
17,w wersji demonstracyjnej ma być tylko jedno zadanie
18,"w przypadku działającego połączenia sieciowego, dane z części klienckiej mają być dostarczane do części serwerowej bezpośrednio z aplikacji 
klienckiej"
19,w trybie członka drużyny nie może być możliwości raportowania defektów
20,"w przypadku braku połączenia sieciowego, dane z części klienckiej mają być dostarczane do części serwerowej za pomocą funkcji eksportu z części klienckiej i importu w części serwerowej"
21,"W przypadku utraty połączenia sieciowego użytkownik powinien mieć 
dalszą możliwość wykonywania wszystkich czynności w aplikacji"
22,nie może być możliwości zmiany trybu pracy w trakcie jej działania
23,kolejnosc zadan ma być losowa
24,Część serwerowa ma gromadzić raporty z zadań od zawodników i drużyn
25,Część serwerowa ma prowadzić klasyfikację generalną w kategoriach indywidualnej i drużynowej
26,"część serwerowa ma wyświetlać klasyfikację generalną na zewnętrznym monitorze"
27,Część serwerowa ma automatycznie oceniać poprawność defektów 
28,Część serwerowa ma umożliwić komisji ręczną zmianę ilości przyznanych punktów za zadanie
29,Część serwerowa ma umożliwić wygenerowanie raporty zbiorczego
30,Część serwerowa ma rejestrować wszystkie czynności w dzienniku zdarzeń 
31,"Aplikacja nie może utracić danych w przypadku niespodziewanego jej zamknięcia, tworzenie i wczytywanie kopii"
32,Część serwerowa ma na bieżąco zliczać ilość odebranych raportów
33,pole czas powinno wyświetlać czas do zakończenia rundy
34,pole nr zadania powinno podawać numer zadania
35,pole opis problemu powinno zawierać ogólną informację na temat zadania
36,pole lista zadań powinno umożliwiać nawigację pomiędzy zadaniami
37,przycisk zaraportuj defekt powinien pozwalać na zaraportowanie defektu aktualnie wyświetlanego w oknie zadania
38,przycisk zakończ powinien zakańczać pracę nad wszystkimi zadaniami i wysyłać odpowiedzi do oceny
39,użytkownik powinien mieć możliwość potwierdzenia zakończenia
40,okno zadania powinnno wyświetlać zadanie w którym są defekty